rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1599930883041325745,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041333433,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041337306,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041340984,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041344728,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041350101,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041353720,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041357232,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041360618,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041366177,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041369823,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041373443,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041377027,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041382076,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041385635,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041389253,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041393253,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883041398667,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042927010,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042938062,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042947335,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042955942,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042960272,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042966370,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042973416,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042978393,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042983686,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042987344,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883042995764,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043001426,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043006303,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043011043,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043016015,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043020708,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043025553,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043029704,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043034059,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043039633,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043047102,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043051206,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043054769,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043063891,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043076310,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043080718,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043084840,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043090474,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043095018,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043099504,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043103668,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043108515,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043113422,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043118053,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043122189,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043125800,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043130559,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043134964,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043141128,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043148694,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043152987,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043157099,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043161398,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043166002,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043171696,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043177220,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043184539,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043191515,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043195231,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043200367,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043207292,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043213073,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043217948,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043222068,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043225849,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043230076,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043234789,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043239162,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043244320,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043248701,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043254197,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043263462,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043266880,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043271979,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043279231,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043284512,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043288902,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883043294967,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
